(No column name),FullName,EmailAddress
AdventureWorks,Waldemar Fisar,waldemar@tailspintoys.com
AdventureWorks,Laimonis Berzins,laimonis@tailspintoys.com
AdventureWorks,Lorena Cindric,lorena@tailspintoys.com
AdventureWorks,Hung Van Groesen,hung@tailspintoys.com
AdventureWorks,Bhaargav Rambhatla,bhaargav@tailspintoys.com
AdventureWorks,Mudar Jevtic,mudar@tailspintoys.com
AdventureWorks,Daniel Roman,daniel@tailspintoys.com
AdventureWorks,Leyla Radnia,leyla@tailspintoys.com
AdventureWorks,Johanna Huiting,johanna@tailspintoys.com
AdventureWorks,Robert Ruutli,robert@tailspintoys.com
AdventureWorks,Biswajeet Thakur,biswajeet@tailspintoys.com
AdventureWorks,Radha Shah,radha@tailspintoys.com
AdventureWorks,Kalidas Nadar,kalidas@tailspintoys.com
AdventureWorks,Filip Nedvidek,filip@tailspintoys.com
AdventureWorks,Kanti Kotadia,kanti@tailspintoys.com
AdventureWorks,Hoa Cu,hoa@tailspintoys.com
AdventureWorks,Sointu Aalto,sointu@tailspintoys.com
AdventureWorks,Jae-Gon Min,jae-gon@tailspintoys.com
AdventureWorks,Siddhartha Parkar,siddhartha@tailspintoys.com
AdventureWorks,Paula Matos,paula@tailspintoys.com
AdventureWorks,Elnaz Javan,elnaz@tailspintoys.com
AdventureWorks,Jayashish Ghatak,jayashish@tailspintoys.com
AdventureWorks,Heloisa Fernandes,heloisa@tailspintoys.com
AdventureWorks,Amornrat Rattanaporn,amornrat@tailspintoys.com
AdventureWorks,Razeena Hosseini,razeena@tailspintoys.com
AdventureWorks,Leticia Ribeiro,leticia@tailspintoys.com
AdventureWorks,Tereza Valentova,tereza@tailspintoys.com
AdventureWorks,Brijesh Ganguly,brijesh@tailspintoys.com
AdventureWorks,Filips Jaunzems,filips@tailspintoys.com
AdventureWorks,Bharati Bhowmick,bharati@tailspintoys.com
AdventureWorks,Nitin Matondkar,nitin@tailspintoys.com
AdventureWorks,Joy Dutta,joy@tailspintoys.com
AdventureWorks,Adam Kubat,adam@tailspintoys.com
AdventureWorks,Gulzar Naidu,gulzar@tailspintoys.com
AdventureWorks,Isabelle Vodlan,isabelle@tailspintoys.com
AdventureWorks,Prakash Sarma,prakash@tailspintoys.com
AdventureWorks,Mithun Bhattacharya,mithun@tailspintoys.com
AdventureWorks,Sandhya Raju,sandhya@tailspintoys.com
AdventureWorks,Nghi Hua,nghi@tailspintoys.com
AdventureWorks,Ravindra Parkar,ravindra@tailspintoys.com
AdventureWorks,Duleep Raju,duleep@tailspintoys.com
AdventureWorks,Vlatka Duvnjak,vlatka@tailspintoys.com
AdventureWorks,Cristina Longo,cristina@tailspintoys.com
AdventureWorks,Antonio Lucchese,antonio@tailspintoys.com
AdventureWorks,Hang Tang,hang@tailspintoys.com
AdventureWorks,Hong Ang,hong@tailspintoys.com
AdventureWorks,Intira Mookjai,intira@tailspintoys.com
AdventureWorks,Young-Tae Kim,young-tae@tailspintoys.com
AdventureWorks,Sulabha Khalsa,sulabha@tailspintoys.com
AdventureWorks,Alessandro Milano,alessandro@tailspintoys.com
AdventureWorks,Dhanishta Majji,dhanishta@tailspintoys.com
AdventureWorks,Nils Podnieks,nils@tailspintoys.com
AdventureWorks,Paula Gonzales,paula@tailspintoys.com
AdventureWorks,Chetana Dewangan,chetana@tailspintoys.com
AdventureWorks,Tatjana Utjesenovic,tatjana@tailspintoys.com
AdventureWorks,Theresa Boose,theresa@tailspintoys.com
AdventureWorks,Karel Hanak,karel@tailspintoys.com
AdventureWorks,Fernanda Fierro,fernanda@tailspintoys.com
AdventureWorks,Odessa Schneider,odessa@tailspintoys.com
AdventureWorks,Konrads Sprogis,konrads@tailspintoys.com
AdventureWorks,Kimberly Pace,kimberly@tailspintoys.com
AdventureWorks,Shobha Gupta,shobha@tailspintoys.com
AdventureWorks,Nikolajs Kalejs,nikolajs@tailspintoys.com
